(80 / 47)*x^0 + (-76 / 1)*x^1 + (-91 / 1)*x^2  := (-0.856990855177487, 0.021826020012651784)
(88 / 57)*x^0 + (40 / 31)*x^1 + (7 / 39)*x^2 + (90 / 1)*x^3 + (-13 / 1)*x^4 + (-19 / 7)*x^5 + (47 / 65)*x^6 + (-31 / 1)*x^7 + (19 / 1)*x^8 + (18 / 1)*x^9 + (85 / 1)*x^10 + (5 / 9)*x^11 + (-42 / 1)*x^12  := []
(-12 / 83)*x^0 + (-18 / 41)*x^1 + (10 / 9)*x^2 + (-16 / 19)*x^3  := []
(-7 / 3)*x^0 + (-15 / 1)*x^1 + (8 / 11)*x^2 + (-29 / 50)*x^3 + (-22 / 45)*x^4 + (6 / 1)*x^5 + (-12 / 59)*x^6 + (-72 / 1)*x^7 + (11 / 92)*x^8 + (-3 / 7)*x^9 + (46 / 1)*x^10 + (-29 / 9)*x^11 + (85 / 1)*x^12 + (47 / 71)*x^13  := []
(19 / 28)*x^0 + (-27 / 20)*x^1 + (14 / 1)*x^2 + (-1 / 48)*x^3 + (9 / 40)*x^4  := []
(-31 / 1)*x^0 + (-97 / 78)*x^1 + (29 / 1)*x^2 + (57 / 1)*x^3 + (62 / 1)*x^4 + (-9 / 2)*x^5 + (9 / 1)*x^6 + (-85 / 76)*x^7 + (-49 / 1)*x^8 + (76 / 1)*x^9 + (-95 / 1)*x^10 + (18 / 83)*x^11 + (3 / 1)*x^12  := []
(-73 / 24)*x^0 + (38 / 1)*x^1 + (6 / 7)*x^2 + (88 / 85)*x^3 + (76 / 1)*x^4 + (-4 / 3)*x^5 + (1 / 43)*x^6 + (-86 / 1)*x^7 + (-59 / 45)*x^8 + (-69 / 35)*x^9 + (-96 / 1)*x^10 + (11 / 1)*x^11 + (3 / 1)*x^12 + (-47 / 84)*x^13 + (-43 / 23)*x^14 + (26 / 27)*x^15  := []
(-36 / 61)*x^0 + (-53 / 1)*x^1 + (-25 / 1)*x^2 + (-88 / 1)*x^3 + (-42 / 1)*x^4 + (-9 / 8)*x^5  := []
(60 / 1)*x^0 + (79 / 1)*x^1 + (-50 / 1)*x^2 + (47 / 23)*x^3 + (-93 / 1)*x^4 + (-34 / 15)*x^5 + (-35 / 34)*x^6 + (-8 / 11)*x^7 + (-50 / 1)*x^8 + (23 / 44)*x^9 + (40 / 47)*x^10 + (4 / 1)*x^11 + (11 / 1)*x^12 + (53 / 55)*x^13  := []
(-85 / 1)*x^0 + (33 / 32)*x^1 + (60 / 1)*x^2 + (-19 / 1)*x^3 + (25 / 1)*x^4 + (-78 / 25)*x^5 + (4 / 5)*x^6 + (13 / 29)*x^7 + (-79 / 55)*x^8 + (-90 / 29)*x^9  := []
(-81 / 1)*x^0 + (14 / 1)*x^1 + (-27 / 16)*x^2 + (97 / 64)*x^3 + (-77 / 1)*x^4 + (40 / 1)*x^5  := []
(-5 / 8)*x^0 + (5 / 24)*x^1 + (-1 / 43)*x^2 + (-4 / 39)*x^3 + (45 / 1)*x^4 + (1 / 1)*x^5 + (72 / 1)*x^6 + (-51 / 74)*x^7 + (-8 / 29)*x^8 + (15 / 1)*x^9  := []
(-6 / 5)*x^0 + (-29 / 30)*x^1 + (-15 / 1)*x^2 + (-47 / 1)*x^3 + (-34 / 3)*x^4 + (-38 / 1)*x^5 + (-3 / 2)*x^6 + (40 / 43)*x^7 + (-66 / 1)*x^8 + (18 / 1)*x^9 + (25 / 11)*x^10 + (69 / 1)*x^11  := []
